City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,ballina,-28.8667,153.5667,69.8,94,90,17.27,AU,2021-03-15 06:16:53
236,luderitz,-26.6481,15.1594,64.0,77,0,20.58,NA,2021-03-15 06:07:23
237,hasaki,35.7333,140.8333,66.2,31,20,13.8,JP,2021-03-15 06:15:28
238,tessalit,20.1986,1.0114,64.63,31,0,9.93,ML,2021-03-15 06:14:01
239,satipo,-11.2522,-74.6386,67.89,88,48,1.36,PE,2021-03-15 06:16:55
240,plettenberg bay,-34.0527,23.3716,69.75,87,86,10.29,ZA,2021-03-15 06:16:56
241,keffi,8.8486,7.8736,77.0,78,100,2.3,NG,2021-03-15 06:16:56
242,indiaroba,-11.5192,-37.5117,72.09,84,72,1.83,BR,2021-03-15 06:16:57
243,ayorou,14.7308,0.9174,72.81,23,32,5.48,NE,2021-03-15 06:08:29
244,eskil,38.4017,33.4131,46.53,73,100,14.47,TR,2021-03-15 06:16:58
245,nyurba,63.2842,118.3319,3.18,83,69,11.81,RU,2021-03-15 06:10:36
246,bonthe,7.5264,-12.505,76.1,84,30,3.98,SL,2021-03-15 06:09:40
247,acarau,-2.8856,-40.12,76.53,85,37,8.03,BR,2021-03-15 06:16:59
248,arys,42.4252,68.795,26.6,74,71,6.71,KZ,2021-03-15 06:16:59
249,saldanha,-33.0117,17.9442,63.25,85,98,23.71,ZA,2021-03-15 06:07:56
250,comodoro rivadavia,-45.8667,-67.5,64.4,59,0,12.66,AR,2021-03-15 06:11:01
251,lebork,54.5392,17.7501,37.99,93,75,6.91,PL,2021-03-15 06:17:00
252,tiznit,29.5833,-9.5,62.31,33,99,2.37,MA,2021-03-15 06:15:01
253,salalah,17.0151,54.0924,84.2,45,0,3.44,OM,2021-03-15 06:15:24
254,jinchang,38.4953,102.1739,46.0,43,13,14.43,CN,2021-03-15 06:17:01
255,cabral,18.25,-71.2167,71.28,82,2,2.39,DO,2021-03-15 06:17:02
256,carnarvon,-24.8667,113.6333,89.6,62,0,13.8,AU,2021-03-15 06:08:08
257,safakulevo,54.9901,62.5442,18.52,75,65,11.14,RU,2021-03-15 06:17:02
258,inta,66.0317,60.1659,21.74,87,100,20.04,RU,2021-03-15 06:17:03
259,businga,3.3333,20.8833,71.06,96,100,3.62,CD,2021-03-15 06:17:03
260,bireun,5.203,96.7009,85.57,65,88,7.36,ID,2021-03-15 06:17:04
261,save,8.0425,2.486,78.35,78,64,1.05,BJ,2021-03-15 06:10:23
262,bozeman,45.6796,-111.0386,39.99,86,75,9.22,US,2021-03-15 06:13:09
263,san cristobal,7.7669,-72.225,65.25,92,60,2.21,VE,2021-03-15 06:08:49
264,luanda,-8.8368,13.2343,77.0,88,75,3.44,AO,2021-03-15 06:16:20
265,ciudad bolivar,8.1222,-63.5497,77.02,78,94,11.36,VE,2021-03-15 06:09:15
266,nuuk,64.1835,-51.7216,19.4,73,20,11.5,GL,2021-03-15 06:10:22
267,requena,39.4883,-1.1004,46.99,84,0,3.94,ES,2021-03-15 06:17:06
268,dingle,10.9995,122.6711,86.85,68,15,8.63,PH,2021-03-15 06:10:17
269,roald,62.5833,6.1333,34.0,100,75,5.75,NO,2021-03-15 06:08:31
270,bowling green,36.9903,-86.4436,53.6,50,20,16.11,US,2021-03-15 06:14:52
271,lac du bonnet,50.2536,-96.0612,30.0,99,0,5.99,CA,2021-03-15 06:17:07
272,gimli,50.6336,-96.9907,21.2,79,0,5.75,CA,2021-03-15 06:15:08
273,gat,31.61,34.7642,60.01,100,99,1.01,IL,2021-03-15 06:07:44
274,pevek,69.7008,170.3133,-7.85,96,100,15.37,RU,2021-03-15 06:07:42
275,college,64.8569,-147.8028,0.0,77,20,3.11,US,2021-03-15 06:08:23
276,atchison,39.563,-95.1216,44.01,94,99,12.86,US,2021-03-15 06:15:33
277,goderich,43.7501,-81.7165,23.0,54,0,9.22,CA,2021-03-15 06:17:09
278,naberera,-4.2,36.9333,67.71,71,15,2.91,TZ,2021-03-15 06:15:10
279,komsomolskiy,40.4272,71.7189,33.8,69,75,4.61,UZ,2021-03-15 06:17:09
280,kavaratti,10.5669,72.642,83.39,68,11,7.52,IN,2021-03-15 06:08:31
281,korla,41.7597,86.1469,61.07,24,31,8.72,CN,2021-03-15 06:09:15
282,limbang,4.75,115.0,86.0,74,75,11.5,MY,2021-03-15 06:17:10
283,skibbereen,51.55,-9.2667,44.6,93,20,9.22,IE,2021-03-15 06:13:36
284,provideniya,64.3833,-173.3,18.64,97,100,5.68,RU,2021-03-15 06:07:28
285,luwuk,-0.9516,122.7875,86.29,72,91,3.36,ID,2021-03-15 06:17:11
286,ushirombo,-3.4919,31.9639,70.38,73,77,5.57,TZ,2021-03-15 06:17:12
287,tamiahua,21.2667,-97.45,71.89,95,4,0.78,MX,2021-03-15 06:17:12
288,tautira,-17.7333,-149.15,82.4,69,75,4.61,PF,2021-03-15 06:15:44
289,westport,41.1415,-73.3579,28.0,33,1,19.57,US,2021-03-15 06:05:34
290,matagami,49.7502,-77.6328,-5.8,84,40,8.05,CA,2021-03-15 06:17:13
291,panguipulli,-39.6333,-72.3333,46.4,100,90,2.3,CL,2021-03-15 06:13:19
292,simi,9.5667,-12.35,74.66,72,11,0.16,SL,2021-03-15 06:17:14
293,kattivakkam,13.2167,80.3167,93.2,40,2,2.3,IN,2021-03-15 06:17:14
294,beloha,-25.1667,45.05,80.62,58,0,11.01,MG,2021-03-15 06:15:06
295,vila velha,-20.3297,-40.2925,75.2,88,40,3.44,BR,2021-03-15 06:08:24
296,imbituba,-28.24,-48.6703,69.8,94,0,3.44,BR,2021-03-15 06:17:15
297,muros,42.7762,-9.0603,44.01,85,1,3.0,ES,2021-03-15 06:14:44
298,quatre cocos,-20.2078,57.7625,77.0,94,75,5.75,MU,2021-03-15 06:08:16
299,nantucket,41.2835,-70.0995,23.0,63,78,30.49,US,2021-03-15 06:16:43
300,paciran,-6.8767,112.3761,85.35,67,88,6.78,ID,2021-03-15 06:17:17
301,ornskoldsvik,63.2909,18.7153,28.4,100,0,4.61,SE,2021-03-15 06:17:17
