City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
172,maragogi,BR,83.84,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
173,vanimo,PG,77.88,-2.6741,141.3028,Vahmoneh Lodge Vanimo
174,hambantota,LK,77.0,6.1241,81.1185,Bungalow 63
175,guarapari,BR,87.01,-20.6667,-40.4975,Hotel Porto do Sol
179,port-gentil,GA,82.69,-0.7193,8.7815,Fengshui Residence
181,coahuayana,MX,77.0,18.7333,-103.6833,El rranchito michuacan de ocampos
182,richards bay,ZA,78.01,-28.783,32.0377,BON Hotel Waterfront Richards Bay
189,paita,PE,84.2,-5.0892,-81.1144,Hotel Náutico de Paita
196,norsup,VU,78.91,-16.0667,167.3833,Nabelchel Bungalows
197,bubaque,GW,79.12,11.2833,-15.8333,"Casa Dora, Bubaque"
202,acapulco,MX,78.8,16.8634,-99.8901,HS Hotsson Smart Acapulco
203,kavaratti,IN,83.89,10.5669,72.642,Hotels in Lakshadweep Islands
210,geraldton,AU,80.6,-28.7667,114.6,Broadwater Mariner Resort
211,tuntum,BR,83.7,-5.2581,-44.6489,Casa do Murilo
216,trindade,BR,80.6,-16.6494,-49.4889,Pousada Central
226,cayenne,GF,75.99,4.9333,-52.3333,Hôtel Le Dronmi
227,souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
228,tual,ID,83.1,-5.6667,132.75,Grand Vilia Hotel
236,nampula,MZ,84.2,-15.1165,39.2666,BUTIK Hotel
240,agadir,MA,80.6,30.4202,-9.5982,Iberostar Founty Beach
241,luang prabang,LA,75.97,19.8856,102.1347,Villa Oasis
246,mahajanga,MG,84.2,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
247,porbandar,IN,77.95,21.6422,69.6093,Lords Inn Porbandar
252,praia,CV,82.4,14.9215,-23.5087,LT Aparthotel
254,saint-leu,RE,80.6,-21.15,55.2833,La Caz Oceane
256,kalmunai,LK,79.03,7.4167,81.8167,VS Villa
259,santa cruz cabralia,BR,82.4,-16.2781,-39.0247,Portobali Hotel
262,carnarvon,AU,82.4,-24.8667,113.6333,Hospitality Carnarvon
265,pagudpud,PH,77.0,18.5616,120.7868,Saud Beach Resort and Hotel - 2
271,muisne,EC,82.4,0.6,-80.0333,Quinta Samay
272,castro,BR,80.01,-24.7911,-50.0119,CHACARA BAILLY
273,tiznit,MA,76.71,29.5833,-9.5,Hotels
278,mitsamiouli,KM,86.0,-11.3847,43.2844,Foyer ADM
