City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
568,maragogi,BR,75.67,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
572,bensonville,LR,75.2,6.4461,-10.6125,Hotels
573,kutum,SD,76.41,14.2,24.6667,Dibbo areaمنطقة دبو
575,daru,PG,84.29,-9.0763,143.2092,Daru Lodge
577,gushikawa,JP,77.0,26.3544,127.8686,Kirari Guest House
581,belem,BR,75.2,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
584,tura,IN,88.72,25.5198,90.2201,Hotel RIKMAN Continental
585,fare,PF,82.9,-16.7,-151.0167,Maitai Lapita Village Huahine
587,honiara,SB,81.55,-9.4333,159.95,Heritage Park Hotel
591,kismayo,SO,82.38,-0.3582,42.5454,Agan-Hotel
598,payakumbuh,ID,82.72,-0.2202,100.6308,OYO 3114 Homestay Dalimo
610,benguela,AO,79.99,-12.5763,13.4055,Hotel Praia Morena
611,tiarei,PF,82.4,-17.5333,-149.3333,Le Rocher de Tahiti
623,angoche,MZ,79.54,-16.2325,39.9086,Guest House HESADA
624,bendigo,AU,79.0,-36.7667,144.2833,The Hotel Shamrock
628,ogaminana,NG,77.18,7.5946,6.2248,Mashida Guest House
631,padang,ID,86.0,-0.9492,100.3543,Mercure Padang
637,dambulla,LK,88.07,7.86,80.6517,Tinaya Treats
640,manggar,ID,83.64,-2.8833,108.2667,Guest Hotel
645,longhua,CN,80.22,23.6137,114.1919,Huadu Hotel
647,vaitape,PF,82.96,-16.5167,-151.75,Conrad Bora Bora Nui
650,mocuba,MZ,76.01,-16.8392,36.9856,Phama Lodge
651,voh,NC,80.87,-20.9667,164.7,Le gîte du Koniambo
652,potiskum,NG,78.33,11.7091,11.0694,Tamir Hotel Ltd
653,vanimo,PG,83.84,-2.6741,141.3028,Vahmoneh Lodge Vanimo
654,bousso,TD,83.55,10.4795,16.7117,Hotels
655,ankang,CN,76.98,32.68,109.0172,安琪酒店
659,hirara,JP,77.0,24.8,125.2833,Hotel Atoll Emerald Miyakojima
663,alyangula,AU,77.0,-13.8483,136.4192,Groote Eylandt Lodge
674,mlati,ID,87.8,-7.2154,112.2093,Kos Bu Haji Mblumbang
676,vieques,PR,77.0,18.425,-65.8329,Melia Coco Beach
679,natal,BR,75.2,-5.795,-35.2094,Villa Park Hotel | Natal
681,bodden town,KY,77.0,19.2833,-81.25,Will T Place
682,ko samui,TH,87.8,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
